Please enter:
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,664 K
Secure System                   72 Services                   0     23,940 K
Registry                       128 Services                   0     37,216 K
smss.exe                       572 Services                   0        920 K
csrss.exe                      804 Services                   0      2,960 K
wininit.exe                    104 Services                   0      3,376 K
services.exe                   660 Services                   0      6,916 K
LsaIso.exe                     828 Services                   0      2,552 K
lsass.exe                      716 Services                   0     14,556 K
svchost.exe                   1132 Services                   0      2,940 K
svchost.exe                   1160 Services                   0     22,680 K
fontdrvhost.exe               1184 Services                   0      1,776 K
WUDFHost.exe                  1204 Services                   0      3,992 K
svchost.exe                   1356 Services                   0     14,952 K
svchost.exe                   1444 Services                   0      5,984 K
WUDFHost.exe                  1468 Services                   0      3,984 K
svchost.exe                   1692 Services                   0      4,008 K
svchost.exe                   1716 Services                   0      3,316 K
svchost.exe                   1808 Services                   0      6,084 K
svchost.exe                   1816 Services                   0      5,220 K
WUDFHost.exe                  1872 Services                   0     13,080 K
svchost.exe                   1920 Services                   0      3,428 K
svchost.exe                   1948 Services                   0      8,204 K
IntelCpHDCPSvc.exe            1988 Services                   0      3,228 K
svchost.exe                   2000 Services                   0      4,644 K
IntelCpHeciSvc.exe            1616 Services                   0      3,404 K
svchost.exe                   2112 Services                   0      5,220 K
svchost.exe                   2220 Services                   0      6,452 K
svchost.exe                   2312 Services                   0     12,852 K
svchost.exe                   2404 Services                   0      9,588 K
svchost.exe                   2460 Services                   0      4,068 K
svchost.exe                   2476 Services                   0      4,564 K
svchost.exe                   2536 Services                   0      4,696 K
svchost.exe                   2624 Services                   0      5,828 K
svchost.exe                   2648 Services                   0      5,472 K
svchost.exe                   2712 Services                   0      9,732 K
svchost.exe                   2828 Services                   0      6,344 K
NVDisplay.Container.exe        792 Services                   0      6,136 K
svchost.exe                   3176 Services                   0      3,672 K
svchost.exe                   3184 Services                   0      4,752 K
svchost.exe                   3292 Services                   0      6,440 K
igfxCUIService.exe            3340 Services                   0      4,040 K
svchost.exe                   3376 Services                   0      4,980 K
svchost.exe                   3384 Services                   0      7,328 K
svchost.exe                   3492 Services                   0      8,964 K
svchost.exe                   3600 Services                   0      3,612 K
svchost.exe                   3608 Services                   0      4,720 K
svchost.exe                   3732 Services                   0     10,160 K
svchost.exe                   3792 Services                   0      5,364 K
svchost.exe                   3864 Services                   0      7,200 K
wlanext.exe                   3896 Services                   0      6,296 K
conhost.exe                   3904 Services                   0      2,608 K
svchost.exe                   3912 Services                   0      8,608 K
svchost.exe                   4024 Services                   0      4,088 K
OneApp.IGCC.WinService.ex     4116 Services                   0      8,852 K
svchost.exe                   4128 Services                   0      4,400 K
FMService64.exe               4136 Services                   0      4,380 K
DAX3API.exe                   4144 Services                   0     10,712 K
svchost.exe                   4152 Services                   0      5,084 K
svchost.exe                   4164 Services                   0     12,480 K
esif_uf.exe                   4172 Services                   0      3,672 K
MateBookService.exe           4188 Services                   0     12,996 K
IntelAudioService.exe         4196 Services                   0      8,936 K
OfficeClickToRun.exe          4212 Services                   0     18,164 K
svchost.exe                   4224 Services                   0      7,268 K
QQProtect.exe                 4276 Services                   0      9,756 K
svchost.exe                   4316 Services                   0      5,240 K
svchost.exe                   4348 Services                   0      3,428 K
SessionService.exe            4460 Services                   0      2,168 K
RtkAudUService64.exe          4468 Services                   0      5,516 K
sqlwriter.exe                 4528 Services                   0      3,500 K
svchost.exe                   4556 Services                   0     12,124 K
MsMpEng.exe                   4672 Services                   0    431,676 K
vmcompute.exe                 4680 Services                   0      4,048 K
svchost.exe                   4776 Services                   0      6,804 K
MsDtsSrvr.exe                 4804 Services                   0      3,872 K
sqlservr.exe                  4828 Services                   0     51,736 K
sqlceip.exe                   4860 Services                   0     14,764 K
sqlceip.exe                   4884 Services                   0      8,116 K
sqlceip.exe                   4932 Services                   0     10,588 K
svchost.exe                   5080 Services                   0      6,212 K
msmdsrv.exe                   5088 Services                   0     11,596 K
svchost.exe                   5168 Services                   0      3,788 K
svchost.exe                   5228 Services                   0      4,020 K
